Market,StakeMode,StakeModeName,StrategyId,Liga,Bets,TotalStaked,TotalProfit,HitRate,AvgOdd,AvgEdge,AvgModelProb,MaxDrawdown,LongestRedStreak,ROI
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,B1,14,140.0,4.500000000000002,0.6428571428571429,1.5892857142857142,0.061469623208264434,0.6550495979607687,33.799999999999955,2,0.032142857142857154
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,D1,21,210.0,46.2,0.7142857142857143,1.7157142857142857,0.07064182313413025,0.629084284248399,41.499999999999886,2,0.22
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,D2,14,140.0,-4.699999999999999,0.5714285714285714,1.68,0.06596620961249795,0.6265482819252687,52.0,2,-0.033571428571428565
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,E0,31,310.0,14.100000000000001,0.6129032258064516,1.73,0.0702320258565539,0.6229421534553454,55.799999999999955,3,0.04548387096774194
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,E1,15,150.0,58.79999999999999,0.7333333333333333,1.8806666666666667,0.0690760299932338,0.5814484780315222,51.0,1,0.39199999999999996
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,F1,24,240.0,-38.6,0.5,1.6933333333333334,0.07424145079366323,0.6389087230760687,59.0,4,-0.16083333333333333
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,F2,11,110.0,40.0,0.7272727272727273,1.88,0.06948943743966934,0.5766335171621781,49.700000000000045,2,0.36363636363636365
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,G1,19,190.0,-8.200000000000001,0.5263157894736842,1.833157894736842,0.07404366375633047,0.5938628027628673,61.0,3,-0.04315789473684211
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,I1,27,270.0,-42.1,0.4444444444444444,1.8548148148148147,0.0653899050437832,0.5835449332449864,53.700000000000045,5,-0.15592592592592594
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,I2,14,140.0,-7.500000000000004,0.5,1.8664285714285713,0.07026874778977704,0.581829380055338,29.799999999999955,2,-0.0535714285714286
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,N1,17,170.0,65.0,0.8823529411764706,1.5647058823529412,0.06652221861670009,0.6691486056821618,44.399999999999864,1,0.38235294117647056
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,P1,16,160.0,12.000000000000005,0.6875,1.584375,0.06459003349916764,0.6608394972115486,54.5,2,0.07500000000000004
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,SC0,11,110.0,-3.8000000000000007,0.5454545454545454,1.6990909090909092,0.06244501136179701,0.6293891975392086,32.700000000000045,4,-0.03454545454545455
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,SP1,21,210.0,-28.5,0.47619047619047616,1.8514285714285716,0.07545260562044993,0.5943737374980079,55.0,4,-0.1357142857142857
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,SP2,14,140.0,51.8,0.7142857142857143,1.8935714285714285,0.06916414611372435,0.5725739422388608,45.0,1,0.37
Over 2.5,fixed,Stake fixa,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite,T1,11,110.0,41.699999999999996,0.8181818181818182,1.7345454545454544,0.07170794814651513,0.6201759379100023,41.200000000000045,2,0.37909090909090903
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,B1,2,29.977476146904706,-29.977476146904706,0.0,1.46,0.059835550224293654,0.7045499577264249,35.063995790678405,2,-1.0
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,D1,1,28.29185701247638,16.12635849711154,1.0,1.57,0.10403169469920948,0.7065633402688297,30.54145054681419,0,0.5700000000000001
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,E0,1,25.98877179908609,-25.98877179908609,0.0,1.5,0.06577914723220224,0.7025830213242119,50.929708497532374,1,-1.0
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,F1,3,76.40642327984756,-31.688839202472757,0.3333333333333333,1.49,0.07775639303805348,0.7155816766953383,32.28463241269003,2,-0.4147405131949265
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,N1,4,54.46663059895205,26.500077466137036,1.0,1.4625,0.06349523063628171,0.7052974211440812,36.00278848223229,0,0.4865378521624009
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,P1,2,33.21182842225164,13.284731368900651,1.0,1.4,0.060956399660540506,0.7338535959222228,24.940936698446308,0,0.39999999999999986
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,SC0,2,55.02521040723227,-11.128438019429682,0.5,1.47,0.06969781505226125,0.7162620432677171,0.0,1,-0.2022425345958697
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,SP1,2,57.94251066684991,-12.764743672048041,0.5,1.5350000000000001,0.09162441868969357,0.7112921785205085,46.66780904392567,1,-0.22030014794217417
Over 2.5,kelly_fractional,Kelly fracionado,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60,T1,1,28.746044344741954,15.235403502713236,1.0,1.53,0.09076308370832531,0.7014501066090887,16.29282779902678,0,0.53
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,E0,2,20.0,12.9,1.0,1.645,0.06233603563527934,0.639941108672246,1.3999999999998636,0,0.645
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,E1,5,50.0,14.800000000000002,0.8,1.6199999999999999,0.056884208545591154,0.6431264444253222,14.099999999999909,1,0.29600000000000004
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,F1,2,20.0,12.9,1.0,1.645,0.06280166732990683,0.6404067403668735,7.899999999999864,0,0.645
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,F2,3,30.0,-13.0,0.3333333333333333,1.6666666666666667,0.0719064930304153,0.6370694002985858,20.0,2,-0.43333333333333335
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,G1,7,70.0,-5.1,0.5714285714285714,1.6185714285714285,0.06126947553967345,0.6435585426310201,23.299999999999955,2,-0.07285714285714286
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,I1,6,60.0,3.600000000000003,0.6666666666666666,1.6000000000000003,0.057369017674848845,0.6524485749214762,20.0,2,0.06000000000000005
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,I2,10,100.0,11.100000000000007,0.7,1.6030000000000002,0.058975739712596655,0.6465701275328113,30.0,1,0.11100000000000007
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,P1,3,30.0,18.200000000000003,1.0,1.6066666666666667,0.057219587322594356,0.6421894529455486,0.0,0,0.6066666666666668
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,SP2,10,100.0,-1.899999999999995,0.6,1.6320000000000001,0.06881217687808217,0.6461219962569577,20.0,2,-0.01899999999999995
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,T1,1,10.0,6.000000000000001,1.0,1.6,0.05772497667671783,0.6474685664203075,14.0,0,0.6000000000000001
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,E0,2,41.98517752384234,27.121608470331935,1.0,1.645,0.06233603563527934,0.639941108672246,10.029006225229978,0,0.6459805595660575
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,E1,5,89.18112095857886,30.248222287687845,0.8,1.6199999999999999,0.056884208545591154,0.6431264444253222,23.579408615084276,1,0.3391774174013462
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,F1,2,45.10466209112636,29.49264209742545,1.0,1.645,0.06280166732990683,0.6404067403668735,14.558637970082145,0,0.6538712569853764
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,F2,3,73.72540742363574,-21.49745849939603,0.3333333333333333,1.6666666666666667,0.0719064930304153,0.6370694002985858,42.04924491503198,2,-0.2915881953133042
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,G1,7,125.38328860508568,-5.335144146288727,0.5714285714285714,1.6185714285714285,0.06126947553967345,0.6435585426310201,41.15115420253983,2,-0.04255067964513676
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,I1,6,116.75192380442873,15.553505219122801,0.6666666666666666,1.6000000000000003,0.057369017674848845,0.6524485749214762,33.67650919039056,2,0.1332184062780541
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,I2,10,157.11270654733232,9.061785175008318,0.7,1.6030000000000002,0.058975739712596655,0.6465701275328113,53.39961909946305,1,0.05767697199130315
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,P1,3,39.152415601734376,24.58788225295667,1.0,1.6066666666666667,0.057219587322594356,0.6421894529455486,0.0,0,0.6280042208140914
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,SP2,10,202.66437755414955,-22.682294396582407,0.6,1.6320000000000001,0.06881217687808217,0.6461219962569577,52.23563952061522,2,-0.1119204799102988
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,T1,1,16.05014542653768,9.630087255922609,1.0,1.6,0.05772497667671783,0.6474685664203075,32.41915765910949,0,0.6000000000000001
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,B1,1,10.0,-10.0,0.0,2.5,0.10121759624941218,0.4696386488809911,10.0,1,-1.0
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,F1,1,10.0,-10.0,0.0,2.3,0.10010892355822032,0.5126825974285543,10.0,1,-1.0
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,F2,1,10.0,-10.0,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,I2,2,20.0,0.4999999999999982,0.5,2.2249999999999996,0.11390891967978908,0.5291584562380204,10.0,1,0.02499999999999991
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,P1,1,10.0,11.5,1.0,2.15,0.10030647852233082,0.5336131877875065,0.0,0,1.15
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,SP1,1,10.0,11.5,1.0,2.15,0.11652357900440985,0.5578686305901951,0.0,0,1.15
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,T1,1,10.0,5.700000000000001,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,B1,1,28.163527520315974,-28.163527520315974,0.0,2.5,0.10121759624941218,0.4696386488809911,28.163527520316052,1,-1.0
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,F1,1,29.102362319307705,-29.102362319307705,0.0,2.3,0.10010892355822032,0.5126825974285543,29.10236231930776,1,-1.0
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,F2,1,29.921256023076474,-29.921256023076474,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,I2,2,57.97849795826025,-0.1084504863168867,0.5,2.2249999999999996,0.11390891967978908,0.5291584562380204,29.749206508531756,1,-0.0018705294227346512
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,P1,1,28.856730313275825,33.185239860267195,1.0,2.15,0.10030647852233082,0.5336131877875065,0.0,0,1.15
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,SP1,1,28.27360830478544,32.51464955050326,1.0,2.15,0.11652357900440985,0.5578686305901951,0.0,0,1.1500000000000001
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,T1,1,29.249047791300537,16.67195724104131,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,B1,1,10.0,-10.0,0.0,2.5,0.10121759624941218,0.4696386488809911,10.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,F1,1,10.0,-10.0,0.0,2.3,0.10010892355822032,0.5126825974285543,10.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,F2,1,10.0,-10.0,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,I2,2,20.0,0.4999999999999982,0.5,2.2249999999999996,0.11390891967978908,0.5291584562380204,10.0,1,0.02499999999999991
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,P1,1,10.0,11.5,1.0,2.15,0.10030647852233082,0.5336131877875065,0.0,0,1.15
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,SP1,1,10.0,11.5,1.0,2.15,0.11652357900440985,0.5578686305901951,0.0,0,1.15
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,T1,1,10.0,5.700000000000001,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,B1,1,28.163527520315974,-28.163527520315974,0.0,2.5,0.10121759624941218,0.4696386488809911,28.163527520316052,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,F1,1,29.102362319307705,-29.102362319307705,0.0,2.3,0.10010892355822032,0.5126825974285543,29.10236231930776,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,F2,1,29.921256023076474,-29.921256023076474,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,I2,2,57.97849795826025,-0.1084504863168867,0.5,2.2249999999999996,0.11390891967978908,0.5291584562380204,29.749206508531756,1,-0.0018705294227346512
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,P1,1,28.856730313275825,33.185239860267195,1.0,2.15,0.10030647852233082,0.5336131877875065,0.0,0,1.15
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,SP1,1,28.27360830478544,32.51464955050326,1.0,2.15,0.11652357900440985,0.5578686305901951,0.0,0,1.1500000000000001
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,T1,1,29.249047791300537,16.67195724104131,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
